Title,Genre,Duration,Rating,Voting
A Toast to Love,Romance,1h 29m,6.1,105
Dandelion,Romance,1h 53m,5.3,383
Art of Love,Romance,1h 39m,4.6,2.3K
Marry Christmas,Romance,1h 25m,6.9,57
Sicilian Holiday,Romance,1h 42m,4.9,10
The Lifeguards,Romance,1h 47m,3.9,134
Undergrads,Romance,1h 6m,5.6,41
Say a Little Prayer,Romance,1h 43m,8.4,41
0000 Kilometre,Romance,1h 50m,2.9,121
Ipar Adalah Maut,Romance,2h 11m,7,1.1K
Books & Drinks,Romance,1h 34m,6.7,70
She Taught Love,Romance,1h 42m,5.2,395
Phir Aayi Hasseen Dillruba,Romance,2h 12m,5.8,6.7K
The Private Eye,Romance,1h 55m,3.8,122
Three Secrets,Romance,1h 32m,4.4,45
Rasavathi,Romance,2h 28m,6.4,553
Duino,Romance,1h 48m,8.3,97
Else,Romance,1h 40m,6.1,223
The Time of Fever,Romance,1h 41m,8,614
The Everything Pot,Romance,1h 30m,7.4,29
Miss You,Romance,2h 8m,6.2,3.1K
Shigatsu ni nareba kanojo wa,Romance,1h 48m,6.2,415
Love... Reconsidered,Romance,1h 28m,4.3,126
Mai,Romance,2h 11m,6.8,1.5K
Tillu Square,Romance,2h 17m,6.6,3.4K
The Glory of Life,Romance,1h 38m,6.6,415
Love at 39 Degrees,Romance,1h 55m,5.5,1.3K
Goyo,Romance,1h 46m,6.6,2.2K
Don't Say It,Romance,N/A,8.9,32
The Great Gujarati Matrimony,Romance,2h 24m,7.9,78
Switch Up,Romance,1h 45m,8.6,27
3391 Kilometres,Romance,1h 50m,4.2,1.1K
C4 Cinta,Romance,2h 47m,8.6,117
Love Story,Romance,2h 5m,4.9,385
Perfect Match,Romance,1h 41m,6.6,332
Gharjwai,Romance,2h 14m,8.7,790
Mr. Bachchan,Romance,2h 30m,3.6,5.2K
Albany Road,Romance,2h 15m,7.7,107
When in Rome,Romance,1h 38m,6.1,719
Chainsaws Were Singing,Romance,1h 57m,7.2,340
Kang Mak,Romance,2h 2m,6.4,748
Sex Love Venice,Romance,1h 42m,5,305
Guilty Pleasure,Romance,1h 59m,6,39
The Holiday Exchange,Romance,1h 30m,5.6,399
A Circus Tale & a Love Song,Romance,1h 54m,5.9,102
Sweet Summer Love,Romance,1h 30m,6.4,55
Lula Leblanc,Romance,1h 36m,7.1,36
The Swedish Torpedo,Romance,2h,6.4,131
He Loves Me Not,Romance,N/A,6.9,49
Trisha on the Rocks,Romance,2h 52m,5.2,3K
Blue Sun Palace,Romance,1h 56m,6.7,105
First Taste,Romance,1h 37m,4.5,150
Beauty and the Billionaire: Bali,Romance,1h 31m,5.9,188
A Vintage Christmas,Romance,N/A,6.5,346
The Mediterranean Sea,Romance,1h 48m,7.3,65
Svemu dodje kraj,Romance,1h 29m,6.7,250
Karma's a Bitch,Romance,1h 29m,5,29
Addition,Romance,1h 31m,8.2,28
Across the Sea,Romance,1h 52m,6.4,64
Santa's Cousin,Romance,N/A,7.9,25
Looking for Dr. Love,Romance,1h 25m,6,119
Once Upon a Christmas Wish,Romance,1h 30m,6.1,311
Kill Me If You Dare,Romance,1h 34m,4.6,1.3K
Honeymoonish,Romance,1h 40m,5.3,1.5K
Love Syndrome: The Beginning,Romance,1h 30m,6,48
My Ex's Wedding,Romance,1h 35m,8.5,43
One Night in Tokyo,Romance,1h 35m,8.4,29
What Happened in My Black Boyfriend's Room,Romance,1h 2m,4.8,8
Dilan 1983,Romance,1h 56m,6.7,199
Heavens x Candy,Romance,1h 10m,5.9,38
El Hawa Sultan,Romance,2h 16m,6.6,619
Dhruvathaare,Romance,2h 45m,8.3,646
Love Lies,Romance,1h 54m,7.3,243
Lyubvi ne byvaet?,Romance,1h 45m,5.4,151
Love You to Debt,Romance,2h 15m,6.2,744
Roti Kapda Romance,Romance,2h 33m,7.5,2.5K
Paper Flowers,Romance,1h 40m,9,28
Umjolo: The Gone Girl,Romance,1h 32m,4.4,263
"Extraction, USA",Romance,N/A,7.5,51
Maple Leaf Dreams,Romance,1h 41m,4.6,76
Flat Blood,Romance,N/A,N/A,N/A
El Roomie,Romance,1h 39m,5.8,301
Los pequeños amores,Romance,1h 35m,6.3,345
Azzamine,Romance,1h 44m,8.4,98
Super Happy Forever,Romance,1h 34m,6.9,163
Enchanting Christmas,Romance,1h 31m,6.4,348
Elle & lui & le reste du monde,Romance,1h 25m,5.9,101
In Good Hands 2,Romance,1h 39m,5.3,909
Krista,Romance,58m,5.6,44
I Am the Secret in Your Heart,Romance,1h 52m,6,175
Alterlove,Romance,1h 30m,N/A,N/A
Fruitcake,Romance,1h 37m,5.4,118
Pantaskah Aku Berhijab,Romance,1h 54m,8.5,15
"Aire, Just Breathe",Romance,1h 38m,4.7,184
Last Song for You,Romance,1h 50m,7.3,88
Heartsping : Teenieping of Love,Romance,N/A,7.2,20
Occupied,Romance,1h 17m,N/A,N/A
Anyone But Her,Romance,1h 33m,4.9,274
Ek Anjaan Rishtey Ka Guilt 3,Romance,1h 44m,8,67
You Are Not Alone,Romance,1h 45m,6.2,60
The Untold Story,Romance,N/A,6.4,17
A Bluegrass Christmas,Romance,1h 24m,6,225
Love Li,Romance,2h 48m,6.5,13K
Valentine's Town,Romance,1h 24m,5.2,181
Queens of Drama,Romance,1h 54m,6.4,170
Kahan Shuru Kahan Khatam,Romance,1h 47m,6.2,3.1K
A Merry Royal Christmas,Romance,1h 28m,5.2,138
The Holiday Club,Romance,1h 28m,6.6,343
A European Christmas,Romance,1h 30m,4.7,182
Ask Mevsimi,Romance,2h 6m,4.9,319
Explosions in My Heart,Romance,1h 45m,6.7,33
Life is Filled with So Much of You,Romance,1h 39m,8.1,14
A Man's Promise,Romance,N/A,7.2,41
Perdiendo el Juicio,Romance,N/A,7.2,17
Yo no soy esa,Romance,1h 35m,4.9,267
Yuva,Romance,2h 33m,5.8,833
My Future You,Romance,1h 49m,8.5,44
Rose Rosy Te Gulab,Romance,2h 15m,5.8,294
Verliefd op Bali,Romance,1h 53m,5.1,287
Samana Sunrise,Romance,1h 40m,6.5,61
Detective Conan: The Million-Dollar Pentagram,Romance,1h 51m,6.8,1.4K
Kagojer Bou,Romance,1h 52m,6,23
Morando com o Crush,Romance,1h 30m,5.4,165
Shark Island,Romance,1h 21m,4,114
Ye xiao nü sheng,Romance,1h 50m,7.4,24
Saint Nick of Bethlehem,Romance,1h 33m,9.3,94
Morena,Romance,1h 46m,8,50
My Boyfriend Is a Sex Worker,Romance,50m,4.8,13
Ram Bharosey,Romance,N/A,9.5,32
The Property,Romance,1h 50m,7.5,50
My Boo,Romance,2h 5m,6.1,649
Honeko Akabane's Bodyguards,Romance,1h 57m,6,34
Tuesday,Romance,N/A,4.3,9
Maru Mann Taru Thayu,Romance,2h 33m,7.7,20
Love Stuck,Romance,1h 56m,5.6,150
Rokjesnacht,Romance,1h 35m,4.9,214
Love's Second Act,Romance,N/A,5.4,183
X & Y,Romance,1h 41m,7,10
Onegin,Romance,2h 21m,7,1.2K
Vaagai,Romance,1h 59m,8.8,185
Dinda,Romance,1h 34m,7,36
Jatt & Juliet 3,Romance,2h 15m,5.4,1.8K
Badaa Saat Fi Yawman Ma,Romance,1h 40m,6.3,86
Do I Shock U Like Lightning,Romance,1h 37m,9.1,17
Seven Seas Seven Hills,Romance,1h 30m,8.6,85
"Love, Sitara",Romance,1h 45m,5.3,294
Joy of Horses,Romance,1h 30m,5.8,160
Boda Love,Romance,1h 47m,8.2,13
Hrashwo Deergha,Romance,2h 30m,7.9,79
Petta Rap,Romance,2h 3m,4.2,1.7K
Fragments of Us,Romance,49m,8.3,8
Hearts Creek,Romance,1h 30m,5.8,112
Varshangalkku Shesham,Romance,2h 46m,6.6,4.1K
Visal Adare,Romance,2h,5.9,137
Ma chi ti conosce,Romance,1h 45m,5.9,128
The Umesh Chronicles,Romance,N/A,8.3,11
14 Days Love,Romance,1h 52m,7.5,8
Future Date,Romance,1h 22m,6.6,120
O Melhor Amigo,Romance,1h 36m,7.8,17
Kupu-Kupu Kertas,Romance,1h 53m,7,113
Ahl Al Kahf,Romance,2h,5.2,236
Happiness Is,Romance,1h 36m,3.8,288
Take Good Care,Romance,1h 41m,N/A,N/A
Heartbreak Motel,Romance,1h 55m,7,286
Love Me If You Dare,Romance,2h 8m,4.3,467
The Proud Princess,Romance,1h 24m,7.1,97
Lyubov Sovetskogo Soyuza,Romance,2h 30m,5.1,242
Keluar Main 1994,Romance,1h 52m,7.8,47
Sihinayaki Adare,Romance,2h 30m,6.5,183
Every You Every Me,Romance,1h 48m,6.6,133
"María, Me Muero",Romance,1h 33m,5.4,63
Under Parallel Skies,Romance,1h 50m,5.6,777
Prabuthwa Junior Kalashala,Romance,2h 11m,7.2,2.1K
Vstretimsya vchera,Romance,1h 19m,6.4,339
Writing a Love Song,Romance,1h 25m,6.8,171
Honey Money Phony,Romance,1h 55m,6.2,163
Pranaya Godari,Romance,2h 28m,7.8,2.4K
Letuchiy korabl,Romance,1h 40m,3.7,286
Land of Broken Hearts,Romance,1h 40m,6.3,175
Ancika,Romance,1h 40m,6.8,766
Lobola Man,Romance,1h 48m,4.6,200
Dreaming of You,Romance,1h 35m,8.5,24
"Fool Me Once, Revenge on You",Romance,N/A,7,8
Little Hearts,Romance,2h 16m,5.8,2.2K
Kisko Tha Pata,Romance,2h 15m,7.4,14
Poppay Ki Wedding,Romance,2h 7m,8.8,75
Mor Chhainha Bhuinya 2,Romance,2h 40m,8.5,59
Umjolo: Day Ones,Romance,1h 26m,4,148
A Country Music Christmas,Romance,N/A,6.5,97
L'heureuse élue,Romance,1h 31m,5.4,176
The Heartbreak Agency,Romance,1h 34m,5.3,706
Could Have Waited for August,Romance,1h 52m,6.2,828
Günesi Söndürmem Gerek,Romance,1h 45m,3.5,175
Neelofar,Romance,N/A,8.7,14
Remember I am Dead,Romance,40m,N/A,N/A
Yolki 11,Romance,1h 32m,4.7,163
Election,Romance,2h,5.9,805
Premalo,Romance,2h 8m,7.3,1.1K
Keshava Chandra Ramavath,Romance,2h 13m,6.7,76
"Aku Jati, Aku Asperger",Romance,1h 28m,8.6,16
O2,Romance,1h 45m,6.7,7.9K
Taboo,Romance,N/A,7.4,134
Holiday for Hire,Romance,1h 24m,5.8,187
Letters at Christmas,Romance,1h 24m,3.7,167
Die Ironie des Lebens,Romance,1h 49m,6.6,66
