Title,Genre,Duration,Rating,Voting
Naam,Action,2h 16m,6.5,273
The Moon Thieves,Action,1h 48m,6.2,222
Case Files,Action,N/A,N/A,N/A
Bhairadevi,Action,2h 14m,8.8,43
The Circuit 4: Faith Fighter,Action,1h 30m,4.4,86
100 Crores,Action,N/A,6.1,4K
Jithender Reddy,Action,2h 16m,9.5,2.3K
Exorcism Chronicles: The Beginning,Action,1h 25m,7,61
The Waiter,Action,N/A,7.9,19
Hide and Seek,Action,2h 10m,8.2,54
Kung Fu Games,Action,1h 38m,3.3,373
Neon Fear,Action,40m,6.1,373
The Traveller,Action,2h 14m,5.3,197
September Babies,Action,1h 34m,6.5,280
Honeko Akabane's Bodyguards,Action,1h 57m,6,34
Ghost Killer,Action,1h 45m,7.2,57
Saint Young Men: Holy Men vs Demon Army,Action,1h 33m,3,13
Sons of Rizk 3,Action,2h 5m,6.7,1.6K
Stuntman,Action,1h 54m,7,133
Spirit Riser,Action,1h 38m,6.7,33
Red vs. Blue: Restoration,Action,1h 25m,5.6,134
Dragon Ball Z Kai,Action,1h 22m,8.4,65
Six jours,Action,1h 35m,6.3,96
Checkmate,Action,1h 44m,4.3,378
Blade of Fury,Action,1h 30m,6.1,110
The Slave and the Sorcerer,Action,1h 26m,6.7,37
Buying Time,Action,1h 24m,6.6,244
Customs Frontline,Action,1h 55m,5.4,458
Purushothamudu,Action,2h,4.9,2.2K
Get Close 2,Action,N/A,5.7,44
Hrashwo Deergha,Action,2h 30m,7.9,79
Petta Rap,Action,2h 3m,4.2,1.7K
Mechanic Rocky,Action,2h 36m,6.5,3.4K
Go for Broke,Action,1h 55m,5.6,266
Hotel Underground,Action,N/A,7.4,59
Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,Action,1h 11m,6.8,25
Anthima Theerpu,Action,2h 13m,8.1,1.5K
The Alexandrian,Action,1h 44m,3.9,246
Raqa,Action,1h 47m,6.4,56
Dark Fusion,Action,1h 30m,8.5,233
Taken from Rio Bravo,Action,1h 20m,3,307
Bhaje Vaayu Vegam,Action,2h 16m,6.1,540
