Title,Genre,Duration,Rating,Voting
Bato: Road to Death,Mystery,2h 17m,5.3,716
Backfire,Mystery,N/A,N/A,N/A
200KG Vampire,Mystery,1h 33m,5.2,29
Morena,Mystery,1h 46m,8,50
Free Falling,Mystery,1h 29m,5.2,285
Andhagan,Mystery,2h 22m,6.7,1.2K
The Ruse,Mystery,1h 45m,N/A,N/A
A Stranger in the Woods,Mystery,1h 24m,4.1,462
House of Lies,Mystery,1h 22m,3.8,183
O Clube das Mulheres de Negócios,Mystery,1h 35m,4.9,91
Hunters on a White Field,Mystery,1h 40m,4.9,442
Dead Man,Mystery,1h 49m,5.1,202
Tell No Lies,Mystery,1h 44m,5.1,243
Vertical,Mystery,1h 51m,5.2,109
Buying Time,Mystery,1h 24m,6.6,244
Hello Neighbor,Mystery,N/A,7.9,15
The Night Curse of Reatrei,Mystery,1h 35m,4.5,110
Beline,Mystery,1h 28m,5.6,1.3K
Prasanna Vadanam,Mystery,2h 26m,6.6,530
"Silent Night, Bloody Night 3: Descent",Mystery,1h 40m,4.2,145
The Haunting of Hollywood,Mystery,1h 25m,7.3,265
Somebody,Mystery,1h 52m,N/A,N/A
Passages of Nexus,Mystery,1h 48m,6.3,178
Snow Valley,Mystery,1h 15m,2.8,333
Faultline,Mystery,1h 32m,6.3,54
Pogumidam Vegu Thooramillai,Mystery,2h 13m,7.4,3.8K
Don't Look Back... I Know Your Origins,Mystery,1h 44m,4.6,74
Take Good Care,Mystery,1h 41m,N/A,N/A
Mannequin,Mystery,N/A,5.7,104
Perfect Blue,Mystery,N/A,N/A,N/A
Døde menn går på ski,Mystery,1h 29m,5.5,187
Aru Tozasareta Yuki no Sanso de,Mystery,1h 49m,5.1,118
Water Horse,Mystery,1h 25m,6,238
Next to Us,Mystery,2h 5m,4.9,220
Daitya,Mystery,1h 41m,N/A,N/A
Partners,Mystery,1h 50m,4.8,106
Cheat,Mystery,1h 45m,4.1,188
A Stranger's Child,Mystery,1h 28m,5.3,131
Videotheque,Mystery,1h 52m,6.1,98
Cidade; Campo,Mystery,1h 59m,6.3,132
Ranam Aram Thavarel,Mystery,2h 1m,5.9,801
A Strange House,Mystery,1h 50m,5.5,302
The Sintern,Mystery,1h 38m,4.7,154
DNA,Mystery,2h 36m,5.2,209
Tale of the Land,Mystery,1h 39m,6.2,11
A Song from the Dark,Mystery,1h 45m,4.8,2.2K
At Her Feet,Mystery,1h 40m,7.5,39
First Nights at Freddy's,Mystery,1h 38m,9.2,13
A Knife in the Dark,Mystery,1h 16m,3.2,86
LasseMajas detektivbyrå - Maskoten som försvann,Mystery,1h 30m,6.1,52
The Star City Murders,Mystery,1h 19m,4.1,140
An Intruder Among Us,Mystery,N/A,9.2,14
Live or Dead: The García File,Mystery,1h 24m,6.4,85
Flesh of the Unforgiven,Mystery,1h 28m,9,38
Bodiless,Mystery,1h 30m,5.7,976
Like Aani Subscribe,Mystery,2h 20m,7.5,6.2K
The Hunter's Anthology: The Demon Hunter,Mystery,2h 6m,4.9,93
Octopus with Broken Arms,Mystery,1h 49m,6.2,151
Oshi no Ko: The Final Act,Mystery,2h 9m,7.7,90
The Unseen Sister,Mystery,1h 52m,5.9,768
Behave,Mystery,1h 28m,3,136
Final Girl: Halloween,Mystery,1h 25m,4.6,105
Lunacy,Mystery,1h 17m,5,59
The Well,Mystery,N/A,4.6,13
Raktaksha,Mystery,1h 58m,8.5,1.4K
Grayson's Encounter,Mystery,1h 10m,7.3,22
A Herança,Mystery,1h 20m,6.4,56
To Kill a Wolf,Mystery,1h 32m,8.8,35
The Box,Mystery,1h 19m,3.7,68
My Husband Hired a Hitman,Mystery,1h 32m,4.6,85
Suspect,Mystery,1h 34m,4.6,74
Waterdrop,Mystery,1h 30m,7.2,36
Clownface 3,Mystery,1h 44m,9.4,34
The Gatekeeper,Mystery,1h 37m,5.3,18
7/G,Mystery,2h 20m,4.5,637
Séance Games: Metaxu,Mystery,1h 26m,3.7,143
Cold Blows the Wind,Mystery,1h 25m,5.1,352
Anak Perjanjian Syaitan 2,Mystery,1h 29m,6.6,32
The Birthday Boy,Mystery,1h 58m,8.8,3K
Huggin Molly,Mystery,54m,5.9,73
Vivekam,Mystery,1h 44m,8.2,308
The Whisper Within the Woods,Mystery,N/A,7.7,22
Best Man Dead Man,Mystery,1h 23m,7.8,7
Uninvited,Mystery,1h 33m,6.7,70
Athomugam,Mystery,2h 10m,6.9,627
Housekeeping,Mystery,1h 38m,6,41
Mesken (Messuage),Mystery,1h 42m,7.3,34
The Last Chainsaw Massacre,Mystery,1h 15m,4,38
A Thousand Cuts,Mystery,N/A,N/A,N/A
Amityville Turkey Day,Mystery,1h 34m,2.4,284
Kuramerukagari,Mystery,1h 1m,5.8,78
Rukhwat,Mystery,1h 57m,10,6
Insane Like Me?,Mystery,1h 26m,4.5,52
Advent,Mystery,1h 59m,7.5,6
Anno 2020,Mystery,2h 25m,8.6,24
While You Were Sleeping,Mystery,1h 39m,6.1,157
Burning Butterflies,Mystery,1h 43m,3,8
Chithini,Mystery,2h 31m,6,551
Danger in the Dorm,Mystery,1h 26m,5.1,149
A Cold Grave,Mystery,N/A,3.5,269
Widowbird,Mystery,1h 25m,N/A,N/A
Pop the Pickel,Mystery,1h 20m,N/A,N/A
