Title,Genre,Duration,Rating,Voting
Through My Window: Looking at You,Comedy,1h 45m,5.4,5K
This Is Me... Now,Comedy,1h 5m,4.1,7.1K
Hello Mummy,Comedy,2h 16m,5.7,3.1K
Bhool Bhulaiyaa 3,Comedy,2h 38m,4.7,77K
Thelma the Unicorn,Comedy,1h 33m,5.7,2.8K
The Southern Chronicles,Comedy,2h,8.8,2.3K
Chosen Family,Comedy,1h 28m,4.7,240
How to Date Billy Walsh,Comedy,1h 38m,5.2,3.9K
Bad Shabbos,Comedy,1h 24m,7.4,131
Autumn and the Black Jaguar,Comedy,1h 40m,5.6,954
The Merry Gentlemen,Comedy,1h 27m,4.8,10K
Cells at Work!,Comedy,1h 49m,6.8,155
When Fall Is Coming,Comedy,1h 42m,6.8,1.2K
Officer Black Belt,Comedy,1h 48m,6.8,7.9K
I Love You Forever,Comedy,1h 29m,6.6,72
Space Cadet,Comedy,1h 50m,4.9,9.9K
Bloody Axe Wound,Comedy,1h 23m,4.8,462
Khel Khel Mein,Comedy,2h 15m,6.5,27K
Timestalker,Comedy,1h 29m,5.5,2.8K
Madgaon Express,Comedy,2h 23m,7,41K
Desert Fiends,Comedy,1h 46m,8.5,359
Street Trash,Comedy,1h 25m,4.4,727
A House on Fire,Comedy,1h 45m,7.3,3.2K
The Tiger's Apprentice,Comedy,1h 24m,5.8,2.1K
Audrey,Comedy,1h 37m,5.7,277
Nutcrackers,Comedy,1h 44m,5.5,9.2K
Sweet Dreams,Comedy,1h 35m,5.4,1.4K
Premalu,Comedy,2h 36m,7.8,19K
Arena Wars,Comedy,1h 36m,5,2K
Crayon Shin-chan: Ora's Dinosaur Diary,Comedy,1h 46m,6.6,301
City Hunter,Comedy,1h 42m,6.3,5.5K
"I, the Executioner",Comedy,1h 58m,6.3,1.5K
The Gentleman,Comedy,1h 43m,7.9,94
The Balconettes,Comedy,1h 44m,6.3,728
Spread,Comedy,1h 52m,5.7,624
Longing,Comedy,1h 51m,4.7,770
Marmalade,Comedy,1h 39m,6.2,3.5K
The Underdoggs,Comedy,1h 36m,5.6,4.5K
10 Lives,Comedy,1h 28m,5.9,1.8K
